# azim      elev
98.27      34.43     
216.12     3.65      
358.20     29.72     
277.65     -23.07    
62.36      37.19     
132.53     -31.96    
271.26     -45.76    
279.83     30.53     
123.42     -31.00    
174.24     -21.51    
174.82     -45.41    
358.64     -37.98    
175.26     12.46     
184.91     48.70     
343.02     21.16     
107.06     -18.38    
25.14      24.05     
88.84      -2.34     
177.23     38.66     
20.73      -33.63    
303.76     5.77      
189.63     44.25     
63.50      48.60     
350.20     37.50     
84.19      -39.79    
